Type	authors	year	meeting_start	meeting_end	title	journal	volume	pages	presentation_type	meeting_name	meeting_location	award	lat	long	presented_by	url
conference	Fraser, RS, Föglein, A, Jagger, BW, Wise, HM, Taubenberger, JK, Digard, P	2012	2012-12-01	2012-12-05	Influence of charge at residue 627 of PB2 on polymerase function in influenza A.	na	na	na	poster	ACVP/ASCVP 2012 Annual Meeting	Seattle, Washington, U.S.A.	no	47.611727	-122.332549	R. Fraser	na
conference	Fraser, RS, Snyman, HN, Meyer, A, Hammermueller, JD, Lillie, BN	2017	2017-07-16	2017-07-21	Combining targeted next-generation sequencing and microarray analysis for cis expression quantitative loci analysis of the porcine innate immunome.	na	na	na	poster	36th International Society for Animal Genetics	Dublin, Ireland	no	53.305325	-6.220321	B. Lillie	na
conference	Fraser, RS, Snyman HN, Hammermueller, JD, Meyer, A, Lumsden, JS, Arroyo, LH, Hayes, MA, Lillie, BN	2017	2017-06-04	2017-06-07	Unravelling the genetics of infectious disease susceptibility in livestock wiht the use of high throughput technology. na	na	na	na	talk	2017 CAHLN-RCTLSA Conference	Guelph, Ontario, Canada	no	43.531282	-80.232279	R. Fraser	na
conference	Fraser, RS, Cousto, L, Jensen, M, zur Linden, A, Plattner, BL	2017	2017-11-04	2017-11-08	360-degree torsion of the gallbladder and quadrate liver love in a German shepherd dog	na	na	na	poster	2017 ACVP and ASCVP Concurrent Annual Meeting	Vancouver, BC, Canada	no	49.2888799	-123.113491	R. Fraser	na
journal	Wills, S, Beaufreres, H, Brisson, B, Fraser, RS, Smith, DA	2018	na	na	Pancreatitis and systemic coronavirus infection in a ferret (Mustela putorius furo)	Comparitive Medicine	68	208-211	na	na	na	na	na	na	na	http://www.ingentaconnect.com/content/aalas/cm/2018/00000068/00000003/art00003
journal	Fraser, RS, Arroyo, LG, Meyer, A, Lillie, BN	2018	na	na	Identification of genetic variation in equine collagenous lectins using targeted resequencing	Veterinary Immunology and Immunopathology	202	153-63	na	na	na	na	na	na	na	https://www.sciencedirect.com/science/article/pii/S0165242717305536?via%3Dihub
journal	Snyman, HN, Fraser, RS, Meyer, A, Hammermueller, JD, Squires, EJ, Caswell, JL, Hayes, MA, Lillie, BN	2018	na	na	Constitutive variation in the hepatic innate immunome of healthy pigs	In preparation	na	na	na	na	na	na	na	na	na	na
journal	Fraser, RS, Meyer, A, Snyman, HN, Hayes, MA, Lillie, BN	2018	na	na	Identification and frequency of local expression quantitative trait loci in the innate immunome of diseased and healthy pigs	In preparation	na	na	na	na	na	na	na	na	na	na
journal	Fraser, RS, Lumsden, JS, Lillie, BN	2018	na	na	Identification of polymorphisms in the bovine collagenous lectins and their association with infectious diseases in cattle	Immunogenetics	70	533-546	na	na	na	na	na	na	na	https://link.springer.com/article/10.1007%2Fs00251-018-1061-7
other	Fraser, RS	2012	na	na	The strange future of antibiotics	Wellcome Trust Science Writing Prize										https://blog.wellcome.ac.uk/2012/11/29/the-strange-future-of-antibiotics/
journal	Kozak, R*, Fraser, RS*, Majer, A, Biondi, MJ, Stapleton, P, Urfano, C, Antonation, K, Booth, S, Fernando, L, Lillie, BN, Kobinger, G	2020	na	na	Dual RNA-Seq to characterize host-response and pathogen in liver cells infected with Crimean-Congo Hemorrhagic Fever Virus.	In press with PLoS Neglected Tropical Diseases	na	na	na	na	na	na	na	na	na	na
journal	Schut, CH, Farzan, A, Fraser, RS, Ainslie-Garcia, MH, Friendship, RM, Lillie, BL	2020	na	na	Identification of single-nucleotide variants associated with susceptibility to Salmonella in pigs using a genome-wide association approach	Under review with BMC Veterinary Research	na	na	na	na	na	na	na	na	na	na
